2021-12-15 01:12:168 INFO  ResultPage :29 - Getting result message : You’ll need a visa to join your family or partner in the UK
2021-12-15 01:12:171 INFO  ResultPage :41 - Verifying result message : You’ll need a visa to join your family or partner in the UK
2021-12-15 01:12:872 INFO  ManageDriver :31 - Launching Chrome Browser
2021-12-15 01:12:617 INFO  StartPage :25 - Clicking on start now button : [[ChromeDriver: chrome on WINDOWS (6c5754b809b19e5bf3cad3265df3b05d)] -> xpath: //a[normalize-space()='Start now']]
2021-12-15 01:12:706 INFO  SelectNationalityPage :30 - Selecting nationality from dropdown menu : Australia
2021-12-15 01:12:847 INFO  SelectNationalityPage :35 - Clicking on next step button : [[ChromeDriver: chrome on WINDOWS (6c5754b809b19e5bf3cad3265df3b05d)] -> xpath: //button[normalize-space()='Continue']]
2021-12-15 01:12:50 INFO  SelectNationalityPage :35 - Clicking on next step button : [[ChromeDriver: chrome on WINDOWS (6c5754b809b19e5bf3cad3265df3b05d)] -> xpath: //button[normalize-space()='Continue']]
2021-12-15 01:12:83 INFO  ResultPage :29 - Getting result message : You will not need a visa to come to the UK
2021-12-15 01:12:83 INFO  ResultPage :41 - Verifying result message : You will not need a visa to come to the UK
2021-12-15 01:12:223 INFO  ManageDriver :31 - Launching Chrome Browser
2021-12-15 01:12:230 INFO  StartPage :25 - Clicking on start now button : [[ChromeDriver: chrome on WINDOWS (a744a002a22b6bafbd00897698ff4176)] -> xpath: //a[normalize-space()='Start now']]
2021-12-15 01:12:301 INFO  SelectNationalityPage :30 - Selecting nationality from dropdown menu : Chile
2021-12-15 01:12:439 INFO  SelectNationalityPage :35 - Clicking on next step button : [[ChromeDriver: chrome on WINDOWS (a744a002a22b6bafbd00897698ff4176)] -> xpath: //button[normalize-space()='Continue']]
2021-12-15 01:12:473 INFO  ReasonForTravelPage :39 - Selecting reason for visit list : [[[ChromeDriver: chrome on WINDOWS (a744a002a22b6bafbd00897698ff4176)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (a744a002a22b6bafbd00897698ff4176)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (a744a002a22b6bafbd00897698ff4176)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (a744a002a22b6bafbd00897698ff4176)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (a744a002a22b6bafbd00897698ff4176)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (a744a002a22b6bafbd00897698ff4176)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (a744a002a22b6bafbd00897698ff4176)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (a744a002a22b6bafbd00897698ff4176)] -> xpath: //div[@class='govuk-radios']//label], [[ChromeDriver: chrome on WINDOWS (a744a002a22b6bafbd00897698ff4176)] -> xpath: //div[@class='govuk-radios']//label]]
2021-12-15 01:12:660 INFO  SelectNationalityPage :35 - Clicking on next step button : [[ChromeDriver: chrome on WINDOWS (a744a002a22b6bafbd00897698ff4176)] -> xpath: //button[normalize-space()='Continue']]
2021-12-15 01:12:721 INFO  DurationOfStayPage :41 - Selecting length of stay : longer than 6 months
2021-12-15 01:12:845 INFO  SelectNationalityPage :35 - Clicking on next step button : [[ChromeDriver: chrome on WINDOWS (a744a002a22b6bafbd00897698ff4176)] -> xpath: //button[normalize-space()='Continue']]
2021-12-15 01:12:912 INFO  WorkTypePage :34 - Selecting job type : [[ChromeDriver: chrome on WINDOWS (a744a002a22b6bafbd00897698ff4176)] -> xpath: //div [@class='govuk-radios']//div//label]
2021-12-15 01:12:50 INFO  SelectNationalityPage :35 - Clicking on next step button : [[ChromeDriver: chrome on WINDOWS (a744a002a22b6bafbd00897698ff4176)] -> xpath: //button[normalize-space()='Continue']]
2021-12-15 01:12:84 INFO  ResultPage :29 - Getting result message : You need a visa to work in health and care
2021-12-15 01:12:84 INFO  ResultPage :41 - Verifying result message : You need a visa to work in health and care
